LoanNumber,DateApproved,BorrowerName,Term,InitialApprovalAmount,F_Undisbursed,Channel,Region,TypeOfCall,InterestPerYear
4817968304,1/23/2021,KLEBS MECHANICAL,60,1032635,0,TLS,South,NoBrandName,0.1
3703028410,2/5/2021,BETHEL CONTRACTING LLC,60,1013202,0,TLS,South,NoBrandName,0.1
2018458309,1/20/2021,BOYS & GIRLS CLUBS OF SOUTHCENTRAL ALASKA - 10678,60,1011065,0,TLS,South,NoBrandName,0.1
3183028503,2/23/2021,HARRIS SAND & GRAVEL INC.,60,993750,0,TLS,South,NoBrandName,0.1
6504298400,2/10/2021,ALASKA TERMINALS INC,60,977577,0,TLS,South,NoBrandName,0.1
7230548301,1/28/2021,UNIVERSAL WELDING & FABRICATION INC,60,466840,0,TLS,South,NoBrandName,0.1
9842888407,2/17/2021,CORNERSTONE GENERAL CONTRACTORS INC.,60,967991.85,0,TLS,South,NoBrandName,0.1
2966468606,3/16/2021,GRANDE DENALI LLC,60,965009,0,TLS,South,NoBrandName,0.1
4449828804,4/16/2021,ALASKA RIVERWAYS INC,60,961498.15,0,TLS,South,NoBrandName,0.1
5668498305,1/25/2021,SOUTH RESTAURANT + COFFEEHOUSE LLC,60,942263,0,TLS,South,NoBrandName,0.1
3512898508,2/24/2021,VANNOY ELECTRIC LLC,60,930660,0,TLS,South,NoBrandName,0.1
9084168403,2/14/2021,CAMP FIRE ALASKA,60,927705.95,0,TLS,South,NoBrandName,0.1
3498548500,2/24/2021,SCHMOLCK MECHANICAL CONTRACTORS INC.,60,923176.33,0,TLS,South,NoBrandName,0.1
6765378300,1/27/2021,TONGASS TRADING COMPANY,60,918121.33,0,TLS,South,NoBrandName,0.1
4224558304,1/23/2021,GOLDEN NORTH VAN LINES INC.,60,913152,0,TLS,South,NoBrandName,0.1
5771978403,2/9/2021,"SPECIALIZED TRANSPORT & RIGGING, LLC",60,903700,0,TLS,South,NoBrandName,0.1
4280758408,2/6/2021,MECHANICAL SPECIALISTS INC,60,889710,0,TLS,South,NoBrandName,0.1
4079198306,1/22/2021,EKLUTNA INC,60,871882.5,0,TLS,South,NoBrandName,0.1
1629148609,3/13/2021,TAILWIND INC,60,870817.5,0,TLS,South,NoBrandName,0.1
3434158404,2/5/2021,ACCEL FIRE SYSTEMS INC.,60,859680,0,TLS,South,NoBrandName,0.1
9428088408,2/17/2021,TRIUMVIRATE LLC,60,852740,0,TLS,South,NoBrandName,0.1
3819468306,1/22/2021,DESIGN ALASKA INC,60,850000,0,TLS,South,NoBrandName,0.1
5473778306,1/25/2021,STARS OF GOLD LLC,60,847084,0,TLS,South,NoBrandName,0.1
7347898403,2/11/2021,AIRFRAMES ALASKA LLC,60,836647,0,TLS,South,NoBrandName,0.1
7601588400,2/12/2021,SOUTHERN SOUTHEAST REGIONAL AQUACULTURE ASSOCIATION INC.,60,825307.03,0,TLS,South,NoBrandName,0.1
5048318601,3/20/2021,DELTA INDUSTRIAL SERVICES INC.,60,824834.3,0,TLS,South,NoBrandName,0.1
1967178305,1/20/2021,"BTY DENTAL GROUP, LLC.",60,818732,0,TLS,South,NoBrandName,0.1
5934228407,2/9/2021,VENTURE TRAVEL LLC,60,813984.74,0,TLS,South,NoBrandName,0.1
2983348607,3/16/2021,AAA MOVING & STORAGE INC.,60,785943,0,TLS,South,NoBrandName,0.1
4061898502,2/25/2021,LANDYE BENNETT BLUMSTEIN LLP,60,779825,0,TLS,South,NoBrandName,0.1
2480438401,2/3/2021,THE LANDING RESTAURANT LLC.,60,771627.5,0,TLS,South,NoBrandName,0.1
4606718604,3/18/2021,TULUKSAK DREDGING LTD.,60,757717,0,TLS,South,NoBrandName,0.1
4739648905,4/29/2021,TAIGA MINING COMPANY INC,60,751949,0,TLS,South,NoBrandName,0.1
3218508408,2/4/2021,HAMILTON CONSTRUCTION LLC,60,750000,0,TLS,South,NoBrandName,0.1
1511718510,2/19/2021,A & A ROOFING INC,60,746163.2,0,TLS,South,NoBrandName,0.1
9897918400,2/18/2021,LATOUCHE PEDIATRICS LLC,60,736367.3,0,TLS,South,NoBrandName,0.1
3898848310,1/22/2021,F R BELL & ASSOCIATES INC,60,736027,0,TLS,South,NoBrandName,0.1
6546888409,2/10/2021,KODIAK ISLAND HEALTH CARE FOUNDATION,60,735934.22,0,TLS,South,NoBrandName,0.1
1068218409,2/1/2021,PRISM DESIGN & CONSTRUCTION LLC,60,734055,0,TLS,South,NoBrandName,0.1
5936358404,2/9/2021,GENTLE CARE SERVICES INC.,60,732802.5,0,TLS,South,NoBrandName,0.1
9933668406,2/18/2021,"BIG DREAMS TRANSPORT, LTD.",60,710995,0,TLS,South,NoBrandName,0.1
4993438504,2/26/2021,COOLEY CO,60,686400,0,TLS,South,NoBrandName,0.1
1846518304,1/20/2021,EMC ENGINEERING LLC,60,683445,0,TLS,South,NoBrandName,0.1
4479268400,2/6/2021,SHERMAN TECHNOLOGIES LLC,60,683197,0,TLS,South,NoBrandName,0.1
1104058309,1/16/2021,"TDL STAFFING, INC.",60,682500,0,TLS,South,NoBrandName,0.1
5301868302,1/25/2021,WITHIN THE WILD ADVENTURE CO,60,674254,0,TLS,South,NoBrandName,0.1
3592838500,2/24/2021,IMAGE DRYWALL & PAINT INC,60,672217,0,TLS,South,NoBrandName,0.1
3018618804,4/13/2021,SHEET METAL INC,60,668215,0,TLS,South,NoBrandName,0.1
8283418306,1/29/2021,SOUTHEAST ALASKA SPORTFISHING ADVENTURES INC.,60,667933.17,0,TLS,South,NoBrandName,0.1
5774988303,1/25/2021,R J H INCORPOATED,60,665165,0,TLS,South,NoBrandName,0.1
6963018309,1/27/2021,SOLOY HELICOPTERS LLC,60,660772,0,TLS,South,NoBrandName,0.1
4380898303,1/23/2021,BLAZY CONSTRUCTION INC,60,660000,0,TLS,South,NoBrandName,0.1
6534168310,1/27/2021,"TUTKA, LLC",60,652640,0,TLS,South,NoBrandName,0.1
5100698608,3/20/2021,INTERIOR COMMUNITY HEALTH CENTER,60,652461.12,0,TLS,South,NoBrandName,0.1
3939738407,2/5/2021,SPAWN IDEAS INC,60,639638,0,TLS,South,NoBrandName,0.1
6855338303,1/27/2021,RESIDENTIAL YOUTH CARE INC.,60,638370,0,TLS,South,NoBrandName,0.1
2445768509,2/20/2021,CRITERION GENERAL INC,60,632108.42,0,TLS,South,NoBrandName,0.1
2698198600,3/15/2021,CRYSTAL CREEK LODGE LLC,60,631444.55,0,TLS,South,NoBrandName,0.1
3517308309,1/22/2021,THE NEW PEANUT FARM INC,60,624508,0,TLS,South,NoBrandName,0.1
3192368306,1/21/2021,PLAYFUL LEARNING PEDIATRIC THERAPY LLC,60,618542,0,TLS,South,NoBrandName,0.1
4535718508,2/26/2021,BLACK GOLD EXPRESS INC.,60,617456.62,0,TLS,South,NoBrandName,0.1
4212858303,1/23/2021,BACTRANSPORTATION LLC,60,616195,0,TLS,South,NoBrandName,0.1
5724958405,2/9/2021,MIDNIGHT SUN SUBWAY LLC,60,612716.12,0,TLS,South,NoBrandName,0.1
9162328301,1/30/2021,FIVE STAR OILFIELD SERVICES LLC,60,610177,0,TLS,South,NoBrandName,0.1
4217088307,1/23/2021,ALASKA WILDLAND ADVENTURES INC,60,609795,0,TLS,South,NoBrandName,0.1
3548818704,3/31/2021,PAKLOOK AIR INC,60,607240,0,TLS,South,NoBrandName,0.1
6488228302,1/27/2021,AA PAIN CLINIC INC,60,605922.65,0,TLS,South,NoBrandName,0.1
8904548303,1/30/2021,TAYLOR FIRE PROTECTION SERVICES LLC,60,605232,0,TLS,South,NoBrandName,0.1
6263958406,2/10/2021,EARHART ROOFING COMPANY INC,60,602100,0,TLS,South,NoBrandName,0.1
1523568608,3/13/2021,ADAMS MORGENTHALER & CO INC DBA AMC,60,600482.5,0,TLS,South,NoBrandName,0.1
9268098302,1/30/2021,ALASKA WILD SEAFOOD PARTNERS LLC,60,599430,0,TLS,South,NoBrandName,0.1
2507548400,2/3/2021,THE LEGACY GROUP INC.,60,597040,0,TLS,South,NoBrandName,0.1
2844659003,5/18/2021,CENTER FOR COMMUNITY,60,596740,0,TLS,South,NoBrandName,0.1
4539368409,2/6/2021,AARON PLUMBING AND HEATING COMPANY,60,590365,0,TLS,South,NoBrandName,0.1
2041758510,2/19/2021,UNITED WAY OF ANCHORAGE INC,60,590000,0,TLS,South,NoBrandName,0.1
1890288500,2/19/2021,ALASKA INDUSTRIAL LLC,60,588991.25,0,TLS,South,NoBrandName,0.1
5399788506,2/27/2021,RIVER'S EDGE HOTELS LLC,60,586411,0,TLS,South,NoBrandName,0.1
2228168303,1/20/2021,GOURMET VENTURES INC.,60,584801,0,TLS,South,NoBrandName,0.1
3747438504,2/24/2021,PRL LOGISTICS INC,60,579120,0,TLS,South,NoBrandName,0.1
9064088406,2/14/2021,PLAY N LEARN CENTER INC,60,578145,0,TLS,South,NoBrandName,0.1
9213988301,1/30/2021,ABC MOTORHOME RENTALS INC,60,574632,0,TLS,South,NoBrandName,0.1
2144218504,2/20/2021,TH1 LLC,60,574002.5,0,TLS,South,NoBrandName,0.1
5445868410,2/8/2021,WOLF EYE CENTER INC,60,573257,0,TLS,South,NoBrandName,0.1
3838068909,4/28/2021,ALASKA PREMIER CHARTERS INC.,60,567810.35,0,TLS,South,NoBrandName,0.1
4044828610,3/17/2021,GREAT ALASKA FISH CAMP INC,60,567192,0,TLS,South,NoBrandName,0.1
3790918305,1/22/2021,"BRIGHT BEGINNINGS EARLY LEARNING CENTER OF ANCHORAGE, INC",60,564780,0,TLS,South,NoBrandName,0.1
3529418609,3/17/2021,ALASKA RED DOG SALOON LLC,60,561850,0,TLS,South,NoBrandName,0.1
2772888300,1/21/2021,HAUTE QUARTER GRILL INC,60,561032,0,TLS,South,NoBrandName,0.1
7027788406,2/11/2021,COPPER RIVER RENTALS LLC,60,560861,0,TLS,South,NoBrandName,0.1
2645748900,4/27/2021,TCI CONSTRUCTION COMPANY INC.,60,559610.65,0,TLS,South,NoBrandName,0.1
4640178307,1/23/2021,MCN CONSTRUCTION INC,60,559402,0,TLS,South,NoBrandName,0.1
3683228402,2/5/2021,NORTHERN SE REGIONAL AQUACULTURE ASSOC. INC.,60,557649.79,0,TLS,South,NoBrandName,0.1
3781198410,2/5/2021,FIKE INDUSTRIAL CONSTRUCTION LLC,60,555672,0,TLS,South,NoBrandName,0.1
9711028505,3/12/2021,RED ONION SALOON INC,60,554624,0,TLS,South,NoBrandName,0.1
3372958303,1/22/2021,BIG STATE LOGISTICS INC.,60,554500,0,TLS,South,NoBrandName,0.1
1428218610,3/13/2021,UP THE CREEK INC.,60,553871.5,0,TLS,South,NoBrandName,0.1
2560328501,2/20/2021,JUNEAU TOURS LLC.,60,551487.2,0,TLS,South,NoBrandName,0.1
4488328701,4/1/2021,ALASKA EYE CARE CENTERS APC,60,549402.5,0,TLS,South,NoBrandName,0.1
4818558900,4/29/2021,SLINKARD & SMITH CO LLC,60,546406,0,TLS,South,NoBrandName,0.1
5223958309,1/25/2021,NONPROFIT IN BUSINESS 20 YEARS,60,544485,0,TLS,South,NoBrandName,0.1
2706988308,1/21/2021,BIG ISLAND ALEHOUSE LLC,60,543931.5,0,TLS,South,NoBrandName,0.1
4789228307,1/23/2021,EP ROOFING INC,60,541852,0,TLS,South,NoBrandName,0.1
3982578707,3/31/2021,YAKUTAT COMMUNITY HEALTH CENTER,60,541113.76,0,TLS,South,NoBrandName,0.1
4326088502,2/25/2021,ANDERSON'S FIREWEED LODGE INC.,60,540974.8,0,TLS,South,NoBrandName,0.1
9523148302,1/30/2021,ALCAN BUILDERS INCORPORATED,60,540362.9,0,TLS,South,NoBrandName,0.1
7606488404,2/12/2021,B C EXCAVATING LLC,60,539992.5,0,TLS,South,NoBrandName,0.1
5462518303,1/25/2021,AAA FENCE INC,60,538786.22,0,TLS,South,NoBrandName,0.1
4411858306,1/23/2021,JOLT CONSTRUCTION & TRAFFIC MAINTENANCE,60,538480,0,TLS,South,NoBrandName,0.1
4937918403,2/7/2021,MINT DENTAL LLC,60,534152,0,TLS,South,NoBrandName,0.1
4902938300,1/23/2021,ABR INC.,60,533759.45,0,TLS,South,NoBrandName,0.1
4241088307,1/23/2021,THE PUMP HOUSE LLC,60,531530,0,TLS,South,NoBrandName,0.1
6501738406,2/10/2021,RON WEBB PAVING INC,60,526991.7,0,TLS,South,NoBrandName,0.1
8978338607,3/25/2021,D OF ALASKA INC.,60,524477.8,0,TLS,South,NoBrandName,0.1
7892398401,2/12/2021,SUITE 100 INC.,60,523353,0,TLS,South,NoBrandName,0.1
6586898700,4/4/2021,ABUSED WOMEN'S AID IN CRISIS INC.,60,520542,0,TLS,South,NoBrandName,0.1
5147128304,1/25/2021,LET IT SNOW LLC,60,518777,0,TLS,South,NoBrandName,0.1
4080638304,1/22/2021,NORTHERN INDUSTRIAL TRAINININGLLC,60,517352,0,TLS,South,NoBrandName,0.1
1326648609,3/13/2021,TRINION QUALITY CARE SERVICES INC,60,515801.65,0,TLS,South,NoBrandName,0.1
2805358509,2/22/2021,KENCARE INC.,60,514947.42,0,TLS,South,NoBrandName,0.1
1422288510,2/18/2021,WASILLA DRIVE-IN LLC,60,383382.82,0,TLS,South,NoBrandName,0.1
3164338507,2/23/2021,HEALTH QUEST THERAPY INC,60,514010,0,TLS,South,NoBrandName,0.1
5696918308,1/25/2021,THE CHARIOT GROUP INC,60,508800,0,TLS,South,NoBrandName,0.1
4008138400,2/5/2021,C&H TESTING SERVICE LLC,60,507700,0,TLS,South,NoBrandName,0.1
2299838507,2/20/2021,ROTAK LLC,60,507596,0,TLS,South,NoBrandName,0.1
9356718505,3/12/2021,ADMIRALTY CONSTRUCTION INCORPORATED,60,501660.18,0,TLS,South,NoBrandName,0.1
8201758409,2/13/2021,POSTAL INSTANT PRESS OF ALASKA INC.,60,496230,0,TLS,South,NoBrandName,0.1
8054088310,1/29/2021,CORRAL NW LLC,60,493423,0,TLS,South,NoBrandName,0.1
9659188509,3/12/2021,YOUNG MEN'S CHRISTIAN ASSOCIATION,60,492132.5,0,TLS,South,NoBrandName,0.1
5540588309,1/25/2021,BAY WELDING SERVICES INC,60,491391.52,0,TLS,South,NoBrandName,0.1
1335588410,2/1/2021,DENALI HOSPITALITY GROUP INC,60,490798,0,TLS,South,NoBrandName,0.1
4083528508,2/25/2021,DENALI INDUSTRIAL SUPPLY INC.,60,488060.46,0,TLS,South,NoBrandName,0.1
4416888303,1/23/2021,ANCHORAGE CLEEK CORPORATION INC.,60,485292.5,0,TLS,South,NoBrandName,0.1
6223198409,2/10/2021,H5 CONSTRUCTION LLC,60,484132.3,0,TLS,South,NoBrandName,0.1
8961128302,1/30/2021,KETCHIKAN HOSPITALITY INC.,60,481288.5,0,TLS,South,NoBrandName,0.1
1526558306,1/17/2021,C & R PIPE AND STEEL INC.,60,479142,0,TLS,South,NoBrandName,0.1
9041678305,1/30/2021,ROCK N ROAD CONSTRUCTION INC,60,474217.59,0,TLS,South,NoBrandName,0.1
3652978401,2/5/2021,FLOYD & SONS INC,60,473274.62,0,TLS,South,NoBrandName,0.1
3562948301,1/22/2021,APDG HOLDING COMPANY LLC,60,472797,0,TLS,South,NoBrandName,0.1
4721878601,3/18/2021,ALASKA CAREER COLLEGE INC,60,472227,0,TLS,South,NoBrandName,0.1
1433288309,1/17/2021,EASTERSEALS ALASKA,60,470785,0,TLS,South,NoBrandName,0.1
6126228403,2/10/2021,INDEPENDENCE PARK MEDICAL SERVICES INC.,60,469052,0,TLS,South,NoBrandName,0.1
5339108510,2/27/2021,YOUNGS' ENTERPRISES LLC,60,466504.08,0,TLS,South,NoBrandName,0.1
3449148404,2/5/2021,GRAHAM INDUSTRIAL COATINGS LLC,60,462075,0,TLS,South,NoBrandName,0.1
2116688301,1/20/2021,ALASKA MECHANCIAL INC.,60,460065,0,TLS,South,NoBrandName,0.1
3046988306,1/21/2021,CAFE DE PARIS CATERING COMPANY,60,456845,0,TLS,South,NoBrandName,0.1
2106848504,2/19/2021,GOLDBELT AERIAL TRAMWAY LLC,60,454947,0,TLS,South,NoBrandName,0.1
9004008402,2/14/2021,INTERIOR ALASKA ROOFING INC,60,454900,0,TLS,South,NoBrandName,0.1
4050178503,2/25/2021,ALASKA NATIVE HERITAGE CENTER INC.,60,453345,0,TLS,South,NoBrandName,0.1
4256278406,2/6/2021,WASILLA ROBIN ALASKA LLC,60,453197,0,TLS,South,NoBrandName,0.1
2437208505,2/20/2021,MCKINLEY SERVICES OF ALASKA LLC,60,450000,0,TLS,South,NoBrandName,0.1
4200768706,4/1/2021,ENVIRONMENTAL COMPLIANCE CONSULTANTS INC,24,450000,0,TLS,South,NoBrandName,0.1
5112948303,1/25/2021,TIKCHIK NARROWS LODGE INC,60,450000,0,TLS,South,NoBrandName,0.1
7398058300,1/28/2021,MIDNIGHT SUN BREWING LLC,60,449683,0,TLS,South,NoBrandName,0.1
5818808908,4/30/2021,JURIS MINDENBERGS,60,447653,0,TLS,South,NoBrandName,0.1
8492058606,3/25/2021,H&T INC DBA CLUB PARIS,60,446586,0,TLS,South,NoBrandName,0.1
2797469001,5/18/2021,ABSOLUTE SERVICES INC,60,446127,0,TLS,South,NoBrandName,0.1
3188518703,3/30/2021,NORTHERN GEOTECHNICAL ENGINEERING INC.,60,443665,0,TLS,South,NoBrandName,0.1
2500768502,2/20/2021,GUY J BURK DMD LLC,60,442168,0,TLS,South,NoBrandName,0.1
2113248303,1/20/2021,"NAKNEK ELECTRIC ASSOCIATION, INC.",60,440734,0,TLS,South,NoBrandName,0.1
3987228510,2/24/2021,WHALEN CONSTRUCTION INC,60,440560,0,TLS,South,NoBrandName,0.1
4985428305,1/23/2021,VALLEY HOTEL INC.,60,440527,0,TLS,South,NoBrandName,0.1
2235408301,1/20/2021,TACO KING INC,60,439273.07,0,TLS,South,NoBrandName,0.1
3602298302,1/22/2021,E & A INC,60,439129.9,0,TLS,South,NoBrandName,0.1
1847018309,1/20/2021,AK SUPPLY INC,60,438452,0,TLS,South,NoBrandName,0.1
5708198304,1/25/2021,CONNECTING TIES INC.,60,435440,0,TLS,South,NoBrandName,0.1
6578918301,1/27/2021,DENALI NATIONAL PARK WILDERNESS CENTERS LTD.,60,430811,0,TLS,South,NoBrandName,0.1
7463048610,3/23/2021,FRIEND CONTRACTORS LLC,60,430692,0,TLS,South,NoBrandName,0.1
5559348405,2/8/2021,P INC,60,429595,0,TLS,South,NoBrandName,0.1
7665378308,1/28/2021,SUKAKPAK INC.,60,428890,0,TLS,South,NoBrandName,0.1
2698258300,1/21/2021,TALKEETNA RESTAURANT LLC,60,427164.5,0,TLS,South,NoBrandName,0.1
1398708907,4/24/2021,KODIAK REGIONAL AQUACULTURE ASSOCIATION,60,426852,0,TLS,South,NoBrandName,0.1
1410948401,2/1/2021,RED ROBIN ALASKA INC.,60,424333,0,TLS,South,NoBrandName,0.1
8165518300,1/29/2021,"MALEMUTE, INC.",60,421682.03,0,TLS,South,NoBrandName,0.1
5167358409,2/8/2021,PEPPERS NORTH LLC,24,420934,0,TLS,South,NoBrandName,0.1
7740898900,5/7/2021,SCHILLING ALASKA INC.,60,417658,0,TLS,South,NoBrandName,0.1
7868648502,3/8/2021,BIG DIPPER CONSTRUCTION INC,60,417552,0,TLS,South,NoBrandName,0.1
4817178510,2/26/2021,GBR EQUIPMENT INC.,60,417227,0,TLS,South,NoBrandName,0.1
4337308502,2/25/2021,CAPTAIN PATTIES FISH HOUSE INC.,60,415558,0,TLS,South,NoBrandName,0.1
6917258310,1/27/2021,MILLER'S LANDING INC,60,414032,0,TLS,South,NoBrandName,0.1
3927738301,1/22/2021,PAYLESS USED CAR SALES LLC.,60,413301.15,0,TLS,South,NoBrandName,0.1
4925108410,2/7/2021,GMW FIRE PROTECTION INC.,60,412637,0,TLS,South,NoBrandName,0.1
7751188404,2/12/2021,COMMERCIAL CONTRACTORS INC,60,411130,0,TLS,South,NoBrandName,0.1
8885688303,1/30/2021,ARCTIC REFRIGERATION & AIR,60,409212,0,TLS,South,NoBrandName,0.1
2889858306,1/21/2021,"TIMBERWOLF VENTURES, INC.",60,407382.5,0,TLS,South,NoBrandName,0.1
4563108401,2/6/2021,AMERICAN-BUCHER JV,60,405954.12,0,TLS,South,NoBrandName,0.1
5127878309,1/25/2021,EAR NOSE THROAT SPECIALISTS OF ALASKA,60,402890,0,TLS,South,NoBrandName,0.1
3180028301,1/21/2021,JALAPENOS INC,60,402199,0,TLS,South,NoBrandName,0.1
5538068307,1/25/2021,THREE RAVENS LLC,60,400855,0,TLS,South,NoBrandName,0.1
5373838401,2/8/2021,ALASKA ROTEQ CORPORATION,60,398208,0,TLS,South,NoBrandName,0.1
